"NUMBER","INETSDESC","INETSHORTD","UNITS","UNITWEIGHT","PRICE1","DELDATE","DISCONT","INETIMAGE","CANTSELL"
"CJELUCD             ","Lucid Dream aromatic jar candle                                                                                         ","Enhance your lucid dreaming experience with our Envision Crystal handmade candle, crafted with care and intention. Infused with the calming scent of Lavender and imbued with magical blessings, this all-natural specialty candle is perfect for setting the mood for a restful night's sleep and vivid dreams. Each candle is unique, with colors that may vary, making it a one-of-a-kind addition to your nightly ritual. Burns approximately 3 1/2 days. Pair with Lucid Dream anointing oil by <A href=""https://www.azuregreen.net/Lucid-Dream-4-dram/productinfo/O4ELUCD/"">clicking here</A>","17","1.2","19.95",,0,"CJELUCD.jpg                              ",0
"CJELUCG             ","Lucky Girl Syndrome aromatic jar candle                                                                                 ","The Lucky Girl Syndrome aromatic jar candle is the perfect gift for any lucky girl in your life. Handmade with love, this candle is not only beautifully scented but also blessed with magic. The all-natural specialty scent and herb mixture on top of the candle create a truly unique and enchanting experience. Please note that the colors of the candle may vary, adding to its charm and individuality. Burns approximately 3 1/2 days. Pair with Lucky Girl anointing oil by <A href=""https://www.azuregreen.net/Lucky-Girl-Syndrome-4-dram/productinfo/O4ELUCGS/"">clicking here</A>","5","1.2","19.95",3/20/2026 0:00:00,0,"CJELUCG.jpg                              ",0
"CJEMAGM             ","Magical Manifestation aromatic jar candle                                                                               ","Introducing our Magical Manifestation aromatic jar candle, a truly enchanting addition to your spiritual practice. Handmade with love, this candle is infused with the power of Envision Crystal, enhancing its ability to manifest your desires. Immerse yourself in the captivating aroma of this beautifully scented candle, carefully crafted with all-natural ingredients. Each candle is blessed with magic, making it a perfect companion for your manifestation rituals. Please note that the colors of the candle may vary, adding a touch of uniqueness to each piece. Burns approximately 3 1/2 days. Pair with Magical Manifest anointing oil by <A href=""https://www.azuregreen.net/Magical-Manifestation-4-dram/productinfo/O4EMAGM/"">clicking here</A>","28","1.2","19.95",,0,"CJEMAGM.jpg                              ",0
"CJEMON              ","Money aromatic jar candle                                                                                               ","Get ready to attract abundance with our Money aromatic jar candle. Handmade with love, this Envision Crystal candle is infused with real Gold flakes and blessed with magic to enhance its power. The all-natural specialty scent adds a touch of luxury to your space, while the colors may vary, making each candle unique. Light up this candle and let the positive energy flow, bringing prosperity and financial success into your life. Burns approximately 3 1/2 days. Pair with the Money anointing oil by <A href=""https://www.azuregreen.net/Money-4-dram/productinfo/O4EMON/"">clicking here</A>","1","1.2","19.95",3/20/2026 0:00:00,0,"CJEMON.jpg                               ",0
"CJEPENP             ","Pentacle Protection aromatic jar candle                                                                                 ","Introducing our Pentacle Protection aromatic jar candle, a truly enchanting addition to your spiritual rituals. This handmade candle is carefully crafted with the intention of providing you with a shield of protection. Adorned with a unique herb mixture and blessed with magic, it emanates a captivating aroma that is both all-natural and specialty. Please note that the colors of this candle may vary, adding an element of surprise to your sacred space. Get ready to attract abundance with our Money aromatic jar candle. Handmade with love, this Envision Crystal candle is infused with real Gold flakes and blessed with magic to enhance its power. The all-natural specialty scent adds a touch of luxury to your space, while the colors may vary, making each candle unique. Light up this candle and let the positive energy flow, bringing prosperity and financial success into your life. Burns approximately 3 1/2 days. Pair with the Money anointing oil by <A href=""https://www.azuregreen.net/Money-4-dram/productinfo/O4EMON/"">clicking here</A>Pair with the Pentacle Protection by <A href=""https://www.azuregreen.net/Pentacle-Protection-4-dram/productinfo/O4EPENP/"">clicking here </A>","33","1.2","19.95",,0,"CJEPENP.jpg                              ",0
"CJEPSYV             ","Psychic Vision aromatic jar candle                                                                                      ","Introducing our Psychic Vision aromatic jar candle, a must-have for those seeking to enhance their psychic abilities. Handcrafted with care, this Envision Crystal candle is infused with the powerful energy of Mugwort, known for its ability to stimulate psychic visions and dreams. Made with all-natural ingredients, this specialty scent candle provides a soothing and calming aroma that promotes relaxation and focus during meditation or divination practices. Please note that due to the handmade nature of these candles, colors may vary, adding a unique touch to each individual piece. Burns approximately 3 1/2 days. Pair with Psychic Vision anointing oil by <A href=""https://www.azuregreen.net/Psychic-Vision-4-dram/productinfo/O4EPSYV/"">clicking here</A>","14","1.2","19.95",,0,"CJEPSYV.jpg                              ",0
"CJESAMB             ","Samhain Blessing aromatic jar candle                                                                                    ","Enhance your Samhain celebration with this envision Crystal handmade candle, specially crafted for blessings during this sacred time of year. Infused with a delightful pumpkin scent and imbued with powerful magic, each candle is adorned with an all-natural specialty scent and herb mixture on top, adding an extra layer of mystique to your rituals. Please note that colors may vary, making each candle a unique and enchanting addition to your spiritual practices. Burns approximately 3 1/2 days. ","27","1.2","19.95",,0,"CJESAMB.jpg                              ",0
"CJESOU              ","Soulmate aromatic jar candle                                                                                            ","Envision Crystal handmade candle, the perfect companion to attract your Soul Mate. This enchanting candle not only fills your space with a delightful scent but is also infused with magical blessings. Crafted with an all-natural specialty scent and herb mixture, each candle is unique and may vary in color. Light up this candle and let its mystical energy guide you on your journey to finding true love. Burns approximately 3 1/2 days. Pair with the Soulmate anointing oil by <A href=""https://www.azuregreen.net/Soulmate-4-dram/productinfo/O4ESOU/"">clicking here</A>","13","1.2","19.95",,0,"CJESOU.jpg                               ",0
"CJETIMM             ","Time Mastery aromatic jar candle                                                                                        ","Envision Crystal handmade candle for Time Mastery! Crafted with care, this candle is infused with the power of master root and blessed with magic to enhance your time management skills. Its all-natural specialty scent and herb mixture create a soothing and invigorating aroma, perfect for creating a focused and productive environment. Please note that the colors of these candles may vary, adding a touch of uniqueness to each one. Illuminate your path to time mastery with this enchanting candle. Burns approximately 3 1/2 days. Pair with the Time Mastery anointing oil by <A href=""https://www.azuregreen.net/Time-Mastery-aromatic-jar-candle/productinfo/CJETIMM/"">clicking here</A>","44","1.2","19.95",,0,"CJETIMM.jpg                              ",0
"CJETRUL             ","True Love aromatic jar candle                                                                                           ","True Love Ritual Candle Burns approximately 3 1/2 days., burns longer overall if relit intermediately. A beautiful pink hand poured wax , scented with our signature romance blend. Topped with pink rose petals and howlite crystals. On the back you will find a beautifully written affirmation of love, to bring your true love into your life, and to open yourself to receiving perfect love. These candles can be lit after or before saying the affirmation, and can be relit many times or burnt all the way down in one go. Pair with the True Love anointing oil by <A href=""https://www.azuregreen.net/True-Love-4-dram/productinfo/O4ETRUL/"">clicking here</A>","0","1.2","19.95",3/20/2026 0:00:00,0,"CJETRUL.jpg                              ",0
"CJEYULB             ","Yule Blessing aromatic jar candle                                                                                       ","Enhance your Yule celebration with our Envision Crystal handmade candle, crafted with care and intention. Each candle is topped with Mistletoe and imbued with powerful magic to bring blessings into your home. Our candles feature an all-natural specialty scent that will fill your space with a warm and inviting aroma, perfect for creating a cozy atmosphere. Please note that colors may vary, making each candle a unique and one-of-a-kind. Burns approximately 3 1/2 days","0","1.2","19.95",3/20/2026 0:00:00,0,"CJEYULB.jpg                              ",0
"CJGOD               ","90 hr Goddess (Lavender) jar candle                                                                                     ","Goddess healing jar with the scent of Lavender. Invoke the Goddess who finds light in darkness and who grows and learns from the positive and negative in every situation, while encouraging those around her to do the same. The fragrance of Lavender has powerful healing properties. It keeps you in an emotional balance and calm, allowing you to hear your intuition. Approximately a 90 hour burn time with beautiful artwork and comes boxed.","0","1.8","14.95",1/1/2027 0:00:00,0,"CJGOD.jpg                                ",0
"CJHORG              ","90 hr Horned God (Dragonblood) jar candle                                                                               ","The horned God jar candle for strength with the scent of Dragonblood. The Horned God is the masculine divine and the Lord of the woodlands and animals. He is a symbol of power, strength, and protection. He works in harmony with the Goddess. The fragrance of the Dragonblood will enhance protection and increase courage and personal power in dangerous or fearful situations. Approximately a 90 hour burn time with beautiful artwork and comes boxed.","0","1.8","14.95",1/1/2027 0:00:00,0,"CJHORG.jpg                               ",0
"CJJINR              ","Jinx Removing 7-day jar candle                                                                                          ","This candle comes in a clear glass jar 8 1/4"" x 2 1/2"" with a single wick. The front of the jar is emblazoned with symbols of good fortune and protection. It comes in two color layers Grey on top, Purple on the bottom. Please allow for some color mixing between layers. It will burn continuously for 5-7 days.","31","2","11.95",,0,"CJJINR.jpg                               ",0
"CJJOHC              ","John the Conqueror Green jar candle                                                                                     ","John The Conqueror 7-day jar candle, crafted for strength, luck, and breakthrough. Work with it daily to draw success, remove obstacles, and claim your power.","25","2","11.95",,0,"CJJOHC.jpg                               ",0
"CJMOND              ","Money Drawing Green jar candle                                                                                          ","This candle comes in a clear glass jar 8 1/4"" x 2 1/2"" with a single wick, it is filled to approximately 7"" to allow for melted wax to gather at the top on the initial lighting. It will burn continuously for approximately 7 days.","4","2","11.95",1/1/2027 0:00:00,0,"CJMOND.JPG                               ",0
"CJPEN               ","90 hr Pentacle (Frankincense) jar candle                                                                                ","Protection jar candle with a Pentacle and the scent of Frankincense. The Pentacle is a symbol of balance and protection with each of the points having their own meaning. Frankincense is powerful to remove negativity and raise the energy level of a space. Great candle to use in rituals. Approximately a 90 hour burn time with beautiful artwork and comes boxed.","0","1.8","13.95",1/1/2027 0:00:00,0,"CJPEN.jpg                                ",0
"CJRAV               ","90 hr Raven (Myrrh) jar candle                                                                                          ","Raven jar candle for vision with the scent of Myrrh. The Raven has no fear. he is a guardian and messenger from the past traditions. He has the ability to give a vision filled with understanding and knowledge. It is a magical symbol of our darker side that we need to keep in balance with the lighter side. Myrrh releases fears, it will support you to trust yourself iin your vision and protect you from painful experiences. Approximately a 90 hour burn time with beautiful artwork and comes boxed.","0","1.8","13.95",1/1/2027 0:00:00,0,"CJRAV.jpg                                ",0
"CJREV               ","Reversing 7 Day jar candle                                                                                              ","This candle comes in a clear glass jar 8 1/4"" x 2 1/2"" with a single wick, it is filled to allow for melted wax to gather at the top on the initial lighting. It comes with graphics on the front designed to reinforce the intent of sending harm back to the ill-wisher. It comes in two color layers Red on top and Black on the bottom. Please allow for some color mixing between the layers. It will burn continuously for 5-7 days. Styles will Vary","0","2","12.95",1/1/2027 0:00:00,0,"CJREV.JPG                                ",0
"CJROAO              ","Road Opener 7 day jar candle                                                                                            ","Road Opener candles are sought for to help clear the way of any obstacle in life.. It has three wax colors to enjoy or to set your purposes. White graphics on glass to help visualize your purpose. ","0","2","12.95",1/1/2027 0:00:00,0,"CJROAO.jpg                               ",0
"CJTHRM              ","90 hr Three Maidens (Benzoin) jar candle                                                                                ","Three Maidens Benzoin jar candle of the eternal life cycle. Burning this candle will invoke the energies of the Mother, Maiden, Crone while the fragrance is used to purify and keep emotional balance. Approximately a 90 hour burn time with beautiful artwork and comes boxed.","17","1.8","14.95",,0,"CJTHRM.jpg                               ",0
"CJTRI               ","90 hr Triquetra (Patchouli) jar candle                                                                                  ","Triquetra connection of the mind jar candle with the scent of Patchouli. The Triquetra is known to symbolize life, death, and rebirth; past, present, and future. The circle around the triquetra signifies the infinite and eternal. It also represents protection. Circles drawn around Celtic knots represent spiritual unity with the divine: a connection that cannot be broken. The calming scent of Patchouli will relax your mind and clarify your thoughts making it possible to keep this connection with yourself and live your life to its fullest. Approximately a 90 hour burn time with beautiful artwork and comes boxed.","3","1.8","14.95",,0,"CJTRI.jpg                                ",0
"CJUNCR              ","Uncrossing 7-day jar candle purple                                                                                      ","Intended to help remove curses and bad luck, and create blessedness. The powerful Uncrossing 7-day jar candle is intended to be burned for seven days while you pray for the improved circumstances you desire. This candle can also be used to honor St Brigit or the Goddess form Bridhid. This candle stands 8"" tall and 2 1/2"" in diameter.","0","2","11.95",1/1/2027 0:00:00,0,"CJUNC.JPG                                ",0
"CJWITB              ","90 hr Witch's Broom (Sage) jar candle                                                                                   ","Cleansing Witch broom jar candle with the scent of Sage. The Witch's Broom is used in Wicca to cleanse negativity and remove unwanted spirits from the home. Sage fragrance in this candle will clear and purify any space or mental fatigue. Approximately a 90 hour burn time with beautiful artwork and comes boxed.","0","1.8","13.95",1/1/2027 0:00:00,0,"CJWITB.jpg                               ",0
"CLAIR               ","4 1/4"" Air Lailokens Awen candle                                                                                        ","Light candle to draw in the qualities attributed to elemental air, when working with elemental beings of air, or for spells involving the mind, psychic powers, intuition, the intellect, learning, communication. Made on the day and in the hour of Mercury. Slight variations in colour may occur between batches.","39","0.3","9.95",,0,"CLAIR.jpg                                ",0
"CLALTW              ","4 1/4"" Altar set white Lailokens Awen candle                                                                            ","Two white pillar candles, each one anointed with general magical Anointing Oil, use as the main candles on your altar. Made on the day and in the hour of either the Sun or Mercury. Slight variations in colour may occur between batches. (2) 4” x 1 3/4”","13","0.5","24.95",,0,"CLALTW.jpg                               ",0
"CLBUSS              ","4 1/4"" Business Success Lailokens Awen candle                                                                           ","Light candles for success in business, to attract customers, and increased cash flow.  Made on the day of Mercury and in the hour of Jupiter.  Handcrafted with beeswax and organic essential oils.  Slight variations in colour may occur between batches.  4 1/4” x 1 1/4”.","13","0.3","9.95",,0,"CLBUS.jpg                                ",0
"CLCLE               ","4 1/4"" Clearing Lailokens Awen candle                                                                                   ","Light candle to cleanse your home of negative energy, when people in the home are arguing, or when the home is filled with any negative emotions. Made on the day and in the hour of the Sun.Handcrafted using Canadian beeswax and organic essential oils.","10","0.3","9.95",,0,"CLCLE.jpg                                ",0
"CLEAR               ","4 1/4"" Earth Lailokens Awen candle                                                                                      ","Light candle to draw in the qualities attributed to elemental earth, when working with elemental beings of earth, or for spells involving the body, growth, nature, birth, silence, foundations. Made on the day and in the hour of either Venus or Saturn. Slight variations in colour may occur between batches.","12","0.3","9.95",,0,"CLEAR.jpg                                ",0
"CLELES              ","4 1/4"" Elemental set Lailokens Awen candle                                                                              ","Four candles representing the four elements, each one anointed with the appropriate elemental anointing oil, use the candles to mark the four quarters of your ritual space, or use them individually on elemental altars or for spellwork. Handcrafted with beeswax and organic essential oils. Slight variations in colour may occur between batches. (4) 4” x 1 1/4”","9","0.5","24.95",,0,"CLELES.jpg                               ",0
"CLFIR               ","4 1/4"" Fire Lailokens Awen candle                                                                                       ","Light candle to draw in the qualities attributed to elemental fire, when working with elemental beings of fire, or for spells involving the will, energy, healing, life, drive, passion, spirit. Made on the day and in the hour of either the Sun or Jupiter. Slight variations in colour may occur between batches.","12","0.3","9.95",,0,"CLFIR.jpg                                ",0
"CLFUM               ","4"" Full Moon scented Lailokens Awen candle                                                                              ","Light during your Full Moon rituals, to honour the Moon Goddess, and for growth, fulfillment, sex, and love. Made on the day and in the hour of the Moon. Lightly scented with Jasmine and Eucalyptus. Approximate burn time: 48 hours","6","0.4","18.95",,0,"CLFUM.JPG                                ",0
"CLHEA               ","4 1/4"" Healing Lailokens Awen candle                                                                                    ","Light candle in the room of the sick person to speed healing. Made on the day of Mercury and in the hour of the Sun. Slight variations in colour may occur between batches. Made in Canada.","20","0.3","9.95",,0,"CLHEA.jpg                                ",0
"CLLEM               ","4 1/4"" Legal Matters Lailokens Awen candle                                                                              ","Light to achieve success in all legal matters. Made on the day of Jupiter, and in the hour of the Sun. Slight variations in colour may occur between batches.","12","0.3","9.95",,0,"CLLEM.jpg                                ",0
"CLLOV               ","4 1/4"" Love Lailokens Awen candle                                                                                       ","Light candle to bring in love and friendship, or to increase the love that you have. Made on the day and in the hour of Venus. Slight variations in colour may occur between batches.","16","0.3","9.95",,0,"CLLOV.jpg                                ",0
"CLMED               ","4 1/4"" Meditation Lailokens Awen candle                                                                                 ","Light candle prior to meditation to calm the conscious mind, and during meditation to achieve an alpha state. Made on the day and in the hour of the Moon. Slight variations in colour may occur between batches.","8","0.3","9.95",,0,"CLMED.jpg                                ",0
"CLNEM               ","4"" New Moon scented Lailokens Awen candle                                                                               ","Lailokens Awen New Moon scented spell candle. Light during your New Moon rituals, to honour the Moon Goddess, and for beginnings, growth, love, healing, peace, and all other matters related to the New Moon. Lightly scented with Sandalwood and Rose. ","11","0.4","18.95",,0,"CLNEM.jpg                                ",0
"CLOV7R              ","5 1/2"" Lovers red candle                                                                                                ","A candle of lovers embracing with dual wicks. A candle of lovers embracing with dual wicks. Burn to ignite the passion between you and your lover. Can be used to bring someone back into your life who has strayed from the relationship. Burning a red candle may assist you with energy,  strength, power, determination, passion, desire, and love. Candle may need base leveling to stand straight. ","31","0.5","8.95",,0,"CLOV7R.jpg                               ",0
"CLPRO               ","4 1/4"" Protection Lailokens Awen candle                                                                                 ","Use for physical, emotional, and psychic protection.  Made in Canada.","7","0.3","9.95",,0,"CLPRO.jpg                                ",0
"CLPUR               ","4 1/4"" Purification Lailokens Awen candle                                                                               ","Use to purify the body and spirit of negative energies.","10","0.3","9.95",,0,"CLPUR.jpg                                ",0
"CLSAUT              ","4"" Autumn Equanox Altar Lailokens Awen candle                                                                           ","Gold beeswax pillar candle anointed with Autumn Equinox Anointing Oil. Use on the Autumn Equinox, and throughout the year to attune to the energies of balance between light and dark, with dark on the increase. Made on the day of the Autumn Equinox.  Slight variations in colour may occur between batches. 4"" x 1 3/4""","8","0.5","15.95",,0,"CLSAUT.JPG                               ",0
"CLSBEL              ","4"" Beltane Sabbat Lailokens Awen candle                                                                                 ","Red beeswax pillar candle anointed with Beltane Anointing Oil. Use on Beltane, and throughout the year, to attune to the changing of the seasons, and for favours and fortune. Made on the day of Beltane. Slight variations in colour may occur between batches. 4"" x 1 3/4""","21","0.4","15.95",,0,"CLSBEL.JPG                               ",0
"CLSEX               ","4 1/4"" Sexuality Lailokens Awen candle                                                                                  ","Use to bring passion into your life, to increase your sexuality, and to attract sexual partners.","9","0.3","9.95",,0,"CLSEX.jpg                                ",0
"CLSIMB              ","4"" Imbolc Sabbat Lailokens Awen candle                                                                                  ","White beeswax pillar candle anointed with Imbolc Anointing Oil. Use on Imbolc, and throughout the year to attune to the energies of the reborn Sun and for new growth. Made on the day of Imbolc. Slight variations in colour may occur between batches. 4"" x 1 3/4""","10","0.4","15.95",,0,"CLSIMB.JPG                               ",0
"CLSLUG              ","4"" Lughnasadh Altar Lailokens Awen candle                                                                               ","Green beeswax pillar candle anointed with Lughnasadh Anointing Oil. Use on Lughnasadh, and throughout the year to attune to the energies of the harvest, when you need to reap what you have sown. Made on the day of Lughnasadh. Slight variations in colour may occur between batches. 4"" x 1 3/4""","20","0.4","15.95",,0,"CLSLUG.JPG                               ",0
"CLSSAM              ","4"" Samhain Sabbat Lailokens Awen candle                                                                                 ","Black beeswax pillar candle anointed with Samhain Anointing Oil. Use on Samhain, and throughout the year to honour the ancestors, and to bring the energy of the Samhain season into your life. Made on the day of Samhain. Slight variations in colour may occur between batches. 4"" x 1 3/4""","12","0.4","15.95",,0,"CLSSAM.JPG                               ",0
"CLSSE               ","4"" Spring Equinox Altar Lailokens Awen candle                                                                           ","Pink beeswax pillar candle anointed with Spring Equinox Anointing Oil. Use on the Spring Equinox, and throughout the year to attune to the energies of balance, with light on the increase, and to refresh your life. Made on the day of the Spring Equinox. Slight variations in colour may occur between batches. 4"" x 1 3/4""","17","0.5","15.95",,0,"CLSSE.JPG                                ",0
"CLSSUM              ","4"" Summer Solstice Altar Lailokens Awen candle                                                                          ","Yellow beeswax pillar candle anointed with Summer Solstice Anointing Oil. Use on the Summer Solstice, and throughout the year to attune to the energies of the Sun, the summer season, and for growth and vitality.Made on the day of the Summer Solstice. Slight variations in colour may occur between batches. 4"" x 1 3/4""","21","0.5","15.95",,0,"CLSSUM.JPG                               ",0
"CLSUCP              ","4 1/4"" Success & Prosperity Lailokens Awen candle                                                                       ","Light candle to achieve success and prosperity in any endeavor. Handcrafted with 100% Canadian beeswax and organic essential oils. Slight variations in colour may occur between batches. 4 1/4” x 1 1/4”.","12","0.3","9.95",,0,"CLSUCP.jpg                               ",0
"CLSWIN              ","4 1/4"" Winter Solstice Altar Lailokens Awen candle                                                                      ","Dark green beeswax pillar candle anointed with Winter Solstice Anointing Oil. Use on the Winter Solstice, and during the year to cleanse your home and to attune to the energies of the winter season, the reborn Sun, and for new beginnings. Made on the day of the Winter Solstice. Slight variations in colour may occur between batches. 4"" x 1 3/4""","12","0.4","15.95",,0,"CLSWIN.JPG                               ",0
"CLWAT               ","4 1/4"" Water Lailokens Awen candle                                                                                      ","Light this rolled beeswax candle for a stronger connection to the element of water. Handcrafted with beeswax and organic essential oils.  Slight variations in colour may occur between batches.  4 1/4” x 1 1/4”.","45","0.3","9.95",,1,"CLWAT.jpg                                ",0
"CLWEA               ","4 1/4"" Wealth Lailokens Awen candle                                                                                     ","Use to attract all manner of wealth to you.","4","0.3","9.95",,0,"CLWEA.jpg                                ",0
"CLWICA              ","4 1/4"" Wiccan Altar set black & white Lailokens Awen candle                                                             ","Two pillar candles, one white and one black, each one anointed with general magical Anointing Oil. The candles can be used as the main candles on your altar. Traditionally, the black candle is placed on the left-hand side of the altar, and the white candle on the right-hand side. Made on the day and in the hour of the Moon. Handcrafted with beeswax and organic essential oils. Slight variations in colour may occur between batches. (2) 4 1/4” x 1 3/4”.","8","0.5","24.95",,0,"CLWICA.jpg                               ",0
"CM888               ","(set of 10) Votive Peg Adapter                                                                                          ","These rubber adapters fit onto the stem of your votive candle holder, securing a snug fit of your fragile holder top. A pack of 10 Votive Peg adapters.","214","0.1","7.95",,0,"CM888A.jpg                               ",0
"CMALB               ","8"" Black Male candle                                                                                                    ","The Male Figure Candle in black is your go-to for ritual work and spellcasting. Designed to embody the male form, it channels powerful energies of transformation, protection, and banishment. The black color adds a touch of mystery, perfect for warding off negativity and breaking hexes. Made from paraffin wax, it might need a bit of leveling to stand upright, and sizes can vary a little, but it’s a must-have for your spiritual toolkit.","70","0.5","7.95",,0,"CMALB.jpg                                ",0
"CMALPI              ","8"" Pink Male candle                                                                                                     ","Illuminate your space with our enchanting male form candles, crafted to evoke a sense of playfulness and charm. Each pink candle radiates tenderness and sweetness, perfect for setting a romantic ambiance. Embrace the magic of these unique creations, where sizes and shapes may vary. Light one and let the warm glow inspire moments of love and connection. May require leveling","13","0.5","7.95",,0,"CMALPI.jpg                               ",0
"CMALR               ","8"" Red Male candle                                                                                                      ","Light up your space with the 8"" Male Figure Candle in vibrant red, a striking piece that embodies courage, desire, and action. Symbolizing strength and assertion, making it perfect for love spells, empowerment rituals, or simply to boost your determination. Crafted from paraffin wax, this candle is designed to ignite your inner fire, helping you conquer obstacles and achieve your goals. It may need a little leveling to stand tall, and keep in mind that sizes can vary slightly.","45","0.5","7.95",,0,"CMALR.jpg                                ",0
"CMALW               ","8"" White Male candle                                                                                                    ","This White Male Figure Candle stands 8 inches tall and is commonly used in ritual work focused on clarity, protection, healing, and intention-setting. The white color represents purity, balance, and spiritual alignment, making it suitable for a wide range of workings or symbolic practices. This candle may be dressed, anointed, or used as-is depending on your tradition and intention.","30","0.5","7.95",,0,"CMALW.jpg                                ",0
"CMFULM              ","18 hr Full Moon Love & Abundance candle                                                                                 ","Two wick candle Full Moon candle. Infuse your environment with the scent of Vanilla and the energy of love and abundance. Candle is in a beautiful wooden container and made with White Coconut wax with 5% essential oil. Approximately 5"" wide and 2"" in height.","15","1","16.95",,0,"CMFULM.jpg                               ",0
"CMR7                ","Red Marriage candle                                                                                                     ","The Marriage candle also known as the bride and groom candle. The candle is formed with a bride and groom standing side by side. Often used to sanctify the act of marriage and union of two souls and for protection against outside forces. Red marriage candles are used to draw love, passion, lust, creativity, and vitality into a relationship. Candle may require leveling to stand perfectly straight. 7"" Sizes, shapes, and coloring may vary slightly. From India","0","0.5","7.95",1/1/2027 0:00:00,0,"CMR7A.jpg                                ",0
"CMUMR               ","6"" Red Mummy candle                                                                                                     ","Shaped like an ancient sarcophagus, this ritual candle channels the mysteries of death, rebirth, and ancestral connection. Inspired by Egyptian funerary magic, the mummy coffin symbolizes preservation of the soul, protection in the afterlife, and the transformative journey beyond the veil. Slight imperfections may be present","3","0.7","14.95",,0,"CMUMR.jpg                                ",0
"CMW7                ","White Marriage candle                                                                                                   ","The Marriage candle also known as the bride and groom candle. The candle is formed with a bride and groom standing side by side. Often used to sanctify the act of marriage and union of two souls and for protection against outside forces. White marriage candles are used to increase love in a relationship, re-ignite passion, for reconciliation spells and to entice a lover to propose to you. 6 1/2"" Sizes, shapes, and coloring may vary slightly. From India","67","0.5","7.95",,0,"CMW7A.jpg                                ",0
"CMWANM              ","12 hr Waning Moon Guidance & Vision candle                                                                              ","Two wick candle Waning Moon candle. Infuse your environment with the scent of Sage and the energy of guidance and vision. Candle is in a beautiful wooden container and made with White Coconut wax with 5% essential oil. Approximately 4 3/4"" wide and 2"" in height.","0","0.8","16.95",1/1/2027 0:00:00,0,"CMWANM.jpg                               ",0
"CMWAXM              ","12 hr Waxing Moon New Beginning candle                                                                                  ","Two wick candle Waxing Moon candle. Infuse your environment with the scent of White Hyacinth and the energy of new beginnings. Candle is in a beautiful wooden container and made with White Coconut wax with 5% essential oil. Approximately 4 3/4"" wide and 2"" in height.","0","0.8","16.95",1/1/2027 0:00:00,0,"CMWAXM.jpg                               ",0
"COCATB              ","5 1/2"" Black Cat candle                                                                                                 ","This 5 1/2"" black cat candle, resembling the ancient symbols of the Egyptian Goddess Bast. Cat candles attract goodluck as with cat's having 9 lives and always landing on their feet. This black cat candle may be especially helpful with spell work that involves protection, banishing, wisdom and for absorbing or projecting negative energy. Candle may require leveling to stand perfectly straight. Sizes, colors, and shapes may vary slightly.","15","0.5","7.95",,0,"COCATB.jpg                               ",0
"COCATG              ","5 1/2"" Green Cat candle                                                                                                 ","This 5 1/2"" green cat candle, resembling the ancient symbols of the Egyptian Goddess Bast. Cat candles attract goodluck as with cat's having 9 lives and always landing on their feet. This green cat candle may be especially helpful with spell work that involves anxiety, depression, hope, health, adventure, renewal, self control, compassion, harmony, wealth, prosperity, and abundance. Candle may require leveling to stand perfectly straight. Sizes, colors, and shapes may vary slightly.","31","0.5","7.95",,0,"COCATG.jpg                               ",0
"COCATR              ","5 1/2"" Red Cat candle                                                                                                   ","This 5 1/2"" red cat candle, resembling the ancient symbols of the Egyptian Goddess Bast. Cat candles attract goodluck as with cat's having 9 lives and always landing on their feet. This red cat candle may be especially helpful with spell work that involves energy, war, danger, strength, power, determination, passion, desire, love, and the root chakra. Candle may require leveling to stand perfectly straight. Sizes, colors, shapes may vary slightly.","25","0.5","7.95",,0,"COCATR.jpg                               ",0
"COCATW              ","5 1/2"" White Cat candle                                                                                                 ","This 5 1/2"" white cat candle, resembling the ancient symbols of the Egyptian Goddess Bast. Cat candles attract goodluck as with cat's having 9 lives and always landing on their feet. This white cat candle may be especially helpful with spell work that involves light, goodness, innocence, purity, perfection, safety, cleanliness, postive, and postivity. Candle may require leveling to stand perfectly straight. Sizes, colors, shapes may vary slightly.","28","0.5","7.95",,0,"COCATW.jpg                               ",0
"COGFB               ","6 1/2"" Black Female Gender candle                                                                                       ","6 1/2"" Black female gender candle, sculpted to resemble the male genitals. This black candle is a potent aid to manipulate, enhance, and control ones sexual nature. Used to attract a new sexual partner, arouse passion, sexual fidelity, and in cursing sexuality and is useful in fertility spell work. Candle may require leveling to stand perfectly straight. Sizes, colors, and shapes may vary slightly.","13","0.7","12.95",,0,"COGFB.jpg                                ",0
"COGFR               ","6 1/2"" Red Female Gender candle                                                                                         ","6 1/2"" Red female gender candle, sculpted to resemble the male genitals. This red candle is a potent aid to manipulate, enhance, and control ones sexual nature. Used to attract a new sexual partner, arouse passion, sexual fidelity, and in cursing sexuality and is useful in fertility spell work. Candle may require leveling to stand perfectly straight. Sizes, colors, and shapes may vary slightly.","44","0.7","12.95",,0,"COGFR.jpg                                ",0
"COGFW               ","6 1/2"" White Female Gender candle                                                                                       ","6 1/2"" White female gender candle, sculpted to resemble the male genitals. This white candle is a potent aid to manipulate, enhance, and control ones sexual nature. Used to attract a new sexual partner, arouse passion, sexual fidelity, and in cursing sexuality and is useful in fertility spell work. Candle may require leveling to stand perfectly straight. Sizes, colors, and shapes may vary slightly.","21","0.7","12.95",,0,"COGFW.jpg                                ",0
