"NUMBER","INETSHORTD"
"DOCCTAR             ","How can we possibly embrace our truest self, if we never step into the dark? Author and Occultist, Travis McHenry, reveals the secret daemons of the 17th Century and conjures their powers into this unique 78 divination card-set. Drawing on Daemons, symbols and sigils from ancient magickal grimoires; including Archidoxis Magica and the Key of Solomon. The Occult Tarot presents a fully realized divination tool to finally embrace and behold the mysteries of the night. The first Tarot deck to faithfully adhere to the Solomonic principles of demon conjuration, the Occult Tarot allows practitioners to discover the power of ancient Demons and learn to tame the beasts that wander between the physical and spiritual worlds. This deck feels imbued with real power and magic, crafted to create a deck that captures the essence of every daemon of the Goetia."
"DOLDSTY             ","Old Style Lenormand brings charming, vintage-looking illustrations to a modern Lenormand audience. The simple and concise imagery provides highly specific answers to your questions. Playing card insets increase the divination power of the cards. Old Style Lenormand is comprised of 38 cards (including two Man and two Lady cards). A 92-page illustrated booklet accompanies the deck. Alexander Ray is a popular Russian psychologist, writer and illustrator who creates divinatory tools that help people find their place in life."
"DOLDSTYR            ","This charming 79-card tarot deck traditions pays with homage appealing vintage-style illustrations that highlight clear tarot symbolism. Designed to be a working deck, Old Style Tarot appeals to both beginners and those who read intuitively. An extra blank card can be used for further explorations of queries. The 104-page illustrated guidebook offers upright and reversed meanings, along with advice, warnings, and quick answers for insightful readings."
"DORAANG             ","'Oracle of the Angels' is infused with light. Its words and images will open the door and pathway to your heart and lead you to a place within you, full of unconditional love and divine wisdom. This deck is an essential and rewarding tool for communicating with the angelic realm and obtaining powerful messages of guidance and love. Simply ask your angels to guide you to the perfect card for you in this moment...."" 64 page book included. 44 cards. Card stack is 4 7/8"" x 3 3/8"" x 3/4"""
"DORAHEA             ","Angels vs demons, demons vs angels: there can be no light without darkness and no darkness without light. This unique oracle of 72 cards combines both infernal and divine powers, with each card containing the image of one goetic demon and the Kabbalistic angel that rules over that demon. In addition to the drawings of the spirits, their summoning sigils are shown behind them. For ease of reading the astrological meaning of each spirit is printed on the card.Oracle of Heaven and Hell can function much like any standard tarot or oracle deck, however, each card provides both a positive and a negative meaning. These should not be seen as either good or bad but rather as two sides of the same coin or, to borrow from Eastern symbology, as the concept of yin and yang or two parts that comprise a whole."
"DORAMER             ","Mermaids are the messengers between the ocean realm and the world of human experiences. Oracle of the Mermaids can teach you ways to heal your past, love yourself more deeply, live authentically, embrace your creativity, and find your life purpose. When you connect with your Mermaids, you tap into the vast reservoir of the Feminine Divine, which in turn enhances your ability to draw love into your life, raise your self-esteem, create sensual bliss and glow with health and attractive vitality. Overflowing with mermaid magic, legends and lore, the 168-page guidebook features in-depth messages and clear, accurate card spreads to help you to find answers for yourself and others. Features 45 illustrations by renowned fantasy artist, Selina Fenech."
"DORAWIT             ","Discover how to harness your personal power as you magically forge together the mystical forces of nature in conjunction with ancient wisdom, magick and ritual. It's time for all witches to re-awaken to the magick of the Old Ways.Oracle of the Witch has been created to empower all those who wish to explore the ancient path of the wise. It is packed with wisdom and guidance, and it can also be used as a teaching tool for both seasoned witches or dabblers.Each card has a magickal message and witch tips, and you will learn to understand both the shadow and light side of the messages. A magickal incantation is also supplied to enable you to draw from and connect with the ancient wisdom of yesteryear.Discover how to harness your personal power as you forge together the mystical forces of nature in conjunction with ancient wisdom, magick and ritual."
"DPAGCAT             ","See the world through the playful, wise, and curious eyes of Cats with the Pagan Cats Tarot deck."
"DPAGCATM            ","Printed on premium black-core cardstock, this fun new mini-edition of the bestselling Tarot of the Pagan Cats Mini Deck is perfect for on-the-go readings. Featuring brilliant new box art, this deck is small enough to fit in a pocket or a purse so you can carry your deck everywhere. It also makes a great gift or stocking stuffer for tarotists. Whether you are an expert reader or just starting your tarot journey, a tarot mini will be an exciting and practical addition to your collection. A 3 1/2"" x 2 1/2"" box."
"DPALFLA             ","Palm-reading (palmistry) is an ancient art of fortune-telling. This set of 50 cards contains all you need to know to start learning palm-reading quickly and easily. You will begin reading your own and your friends' palms straight away. Each card covers a different line or mark on the palm as well as a relevant information such as thumb shape, length and flexibility.You will discover the secrets of every line and mark on your palm. They all have a positive message, just as every experience in life has a gift and message for you.The lines and marks on your palms can change just as your thoughts and beliefs do. And every line on the palm is part of who you are. When you read palms from your heart, the experience of palmistry is energizing, fulfilling and fun. "
"DPENCOM             ","Pendulums have long been used to divine the future and communicate with the spirits. From finding hidden wells in the landscape, and lost pets and treasures, to identifying the root cause of physical distress in the body, pendulums have a venerable history of helping seekers find what they're looking for. In this set, you will learn how to connect with the pendulum included and how to find the answer to almost anything you need to know through the movement of the swinging weight. This handy kit makes a wonderful gift for anyone new to pendulum dowsing or those who want to further explore its meanings. A 5.3"" x 7.9"" box with a pendulum, 8 divining charts and a 128-page illustrated book."
"DPHOCAR             ","Archetypes are universal patterns and images that spring from the collective unconscious. Each archetype we carry within us represents our deepest desires and intentions, directs our energy, and determines our reactions. Coach Anne Vonjahr describes 44 archetypes with their light and shadow sides and explains how you can use the cards to better understand yourself and change your life. Includes 44 cards and 192-page guidebook."
"DPRAWIT             ","Practical Witchcraft deck and book is where you can begin to explore your inner witch. This illuminating box kit will help you discover how to craft spells that bring your magical abilities to the fore. This is a complete resource for anyone interested in doing tried-and-tested spells, as well as creating your own. The spells cover love, abundance, protection, life, and banishing. Includes a chart of magical correspondences, 52 spell cards and 128-page guidebook."
"DPRITAR             ","Pride Tarot is a collaborative 78-card tarot deck inspired by Pridefest and the achievements of the LGBTQ+ movement. U.S. Games Systems created this deck to show its support for the LGBTQ+ community, and to showcase the creative talents of LGBTQ+ members and allies. Pride Tarot features 45 diverse artists from around the globe who share their poignant and powerful stories. Pride Tarot follows the structure of Rider-Waite-Smith Tarot, with some cards portraying real life heroes, role models and personal experiences. Included with the deck is a 192-page illustrated guidebook with card descriptions, artists bios, and instructions for a Parade Card Spread. The deck includes an extra Pride Flag Rainbow card, which can also be used for a six-card reading. U.S. Games Systems, Inc. has made a contribution to an organization working to improve the lives of LGBTQ+ individuals. Since it is all too often young people who most acutely experience isolation and marginalization, we have chosen to donate to a group whose mission is to help struggling young people. A 4.75"" x 2.75"" box with 78 cards and a booklet."
"DPROSPE             ","Protection spell cards. From the beloved author of Encyclopedia of 5,000 spells comes an enchanting deck of 36 gilt-edged cards for everyday magical protection. These easy, practical spells will help you ward off bad energy and defend your personal space."
"DQUEMOO             ","For countless millennia, humans have connected to the mystical power of the moon and the energy of the seasons. For our ancient ancestors, the earliest veneration and sacred honouring was of the Moon, the seasons, the cycles of light and dark, hot and cold and fertility and rest, and this beautifully illustrated Queen of the Moon Oracle allows you, the modern seeker, to plug into these, the most primal energies of all.Consult this oracle, based in ancient wisdom and receive the answers to your modern problems. Features a full moon cycle of lunar images, each beautifully illustrated and able to be used as stunning circular altar displays, Experience the seasonal moons and the power they can provide. Learn which moons are best timings for ritual, spellcraft and making talismans for prosperity, love, health and more. This is the perfect companion to the author's bestselling annual Lunar and Seasonal Diary and is for anyone who loves to sit or dance under a big silvery moon."
"DQUIEAS             ","Featuring printed meanings on each card, the Quick and Easy Tarot makes reading the tarot easier than it ever has been before, with printed meanings displayed on each card, with both upright and reversed meanings. Includes 78 cards and an instructional booklet."
"DRADRID             ","A new radiance and depth was given to the most popular tarot deck with the radiant edition of the Rider-Waite Tarot, with updated and more three dimensional imagery. Includes 78 cards and an instructional booklet."
"DRADRIDT            ","The brilliantly colored tarot deck that has been popular for decades is now presented in a charming keepsake tin. For Radiant Rider-Waite, the artwork of Pamela Colman Smith has been updated and enhanced with a vibrant palette of colors, bringing new energy and radiance to the familiar scenes of 78 cards. Radiant Rider-Waite’s brightness and subtle shading highlight the traditional symbolism that readers rely on for insightful readings. The card backs feature a star-filled deep, blue sky. Radiant Rider-Waite Tarot includes an instruction booklet with an Introduction by Stuart R. Kaplan. Cards in this pocket-sized deck measure 2"" x 3.5"". Includes 78 cards and an instructional booklet."
"DRIDMIN0TA          ","Keep this miniature addition of the Rider-Waite Mini Tarot on hand to work your divinations whenever you need them. 1 7/8"" x 3"". Includes 78 cards and an instructional booklet."
"DRIDPRE             ","Once considered revolutionary, the Rider-Waite® deck has become the most popular tarot deck in the world, and has set the standard for hundreds of other tarot decks. The cards were drawn in 1909 by Pamela Colman Smith under the direction of Arthur Edward Waite. Smith's vibrant drawings transformed the standard tarot deck.18"" x 20"" spread sheet included. 78 cards and a 38 page instructional booklet. Card stack is 4 3/4"" x 2 3/4"" x 1"""
"DRIDSET0TA          ","Celebrating the rich history and divinatory quality of the Rider-Waite Tarot this set contains the full Wait Deck, The Key to the Tarot and a divinatory chart. 160 page book by A.E. Waite with a forward by Liz Greene included. Includes 78 cards and an instructional booklet. Cards measure 2.75"" x 4.75"""
"DRIDWAI2TA          ","Standing the test of time with influences from Qabbalah and the Occult, the Rider-Waite Tarot is the world's most popular tarot deck among readers, seers and collectors alike.  3"" x 5"". Includes 78 cards and an instructional booklet."
"DRIDWAI3            ","Here is the world's most popular tarot deck, the Rider-Wait Tarot, provided for you in a convenient pocket-sized edition.  2 1/4"" x 3 1/2"" Includes 78 cards and an instructional booklet."
"DRIDWAIBL           ","Discover the timeless magic of the classic Rider-Waite Tarot deck, now enhanced with stunning black gold foil that brings the artwork to life. These durable, waterproof cards are not only easy to clean but also designed to withstand the test of time, making them perfect for both beginners and seasoned readers. Each set comes with a stylish storage box, making it super convenient to carry your cards wherever you go. Dive into your tarot journey with this beautiful deck that combines tradition with modern flair!"
"DRIDWAIGO           ","Discover the timeless magic of the classic Rider-Waite Tarot deck, now enhanced with stunning gold foil that brings the artwork to life. These durable, waterproof cards are not only easy to clean but also designed to withstand the test of time, making them perfect for both beginners and seasoned readers. Each set comes with a stylish storage box, making it super convenient to carry your cards wherever you go. Dive into your tarot journey with this beautiful deck that combines tradition with modern flair!"
"DRIDWAIKIT          ","Dive into the mystical realm with the Black Gold Foil Tarot Kit, your ultimate companion for enhancing your divination journey. This stunning set features 78 beautifully crafted cards adorned with black and gold foil, perfect for tapping into your intuition and uncovering the universe's secrets. The kit comes complete with a 2.5"" bell to set the mood, two card holders for easy reading, and two feathers to channel your energy. Plus, it includes a luxurious velvet tarot bag and a spacious divination cloth, making it a stylish and functional addition to your spiritual practice."
"DROBWOO             ","Vibrant with nature imagery and energies that enchant and excite both Pagans and non-Pagans, the entire Robin Wood Tarot, using more current symbolism to bring to life the minor Arcana. Includes 78 cards and an instructional booklet."
"DROSTAR             ","The rose is a through line in The Rosebud Tarot, a rose-gold thread weaving its way into each line of the Major Arcana and into the heart of every Minor. The playfulness and sharp edges of the rose shimmer through every reading, each card's dream-layer collage a petal of insight. The Rosebud Tarot is a 78-card tarot deck bases on the structure found in the classic Rider-Waite-Smith. Its exquisite images are digital collages, created by Amanda Lee Stilwell, which offer a dreamscape of pathways into the tarot."
"DRUNBOX             ","Bring new energy to your divination, magic, and meditation practices with runes. Made of high-quality wood, these deluxe wooden runes are a step above the standard version. Whether you're asking questions about relationships, career prospects, or big decisions, these runes provide insightful guidance when you need it most. You can also use these runes to read for others, whether you choose to read for friends or on a professional basis is up to you! 5x5x3 inches."
"DRUNMAG             ","Derived from an old Germanic word meaning “whisper, secret, or mystery,” runes were the alphabetical letters of the Norse and Germanic tribes in northern Europe from the pre-Christian era until the thirteenth century. A Practical Guide to Rune Magic Kit explains the history of the runes, the meaning of the runic alphabet, and the power of the secret symbols they contain. Discover the divinatory meanings for each rune and learn about the magical art of runic divination. Use rune casts such as “The Celtic Cross” or the “Nordic Oracle” to discern the likely outcome of current situations or discover hidden things. 6.1"" x 8.1"""
"DRUNORA             ","The runes are an ancient and powerful set of symbols originating in northern Europe. Discover how this magical alphabet can help you channel the sacred wisdom of the Norse gods. As a divination system, meditation tool, or a talisman, the Rune Oracle Cards can be used to illuminate your life and manifest transformation. Includes 24 cards and a guidebook."
"DRUNORAL            ","This unique oracle deck with a luxurious velvet finish combines spirituality and mythology, runic wisdom, Norse tradition and Viking ancestral myth. Richard Lister is known worldwide for his expertise in runes, spiritual well-being, and deep healing practices appealing to a male and female audiences. Runic Oracle combines runic wisdom and northern traditional ancestral myth. These 44 cards will connect you to the hidden aspects of the universe and lead you on a journey to discover your inner Viking or volva (witch). Drawing on Scandinavian and Northern European ancestral myth and lore, these cards will help you explore the wyrd, the interconnecting energies of fate or destiny. Richard Lister delves into the runes of the elder Futhark, the Nordic pantheon and the energies in the stories and tales of the Vikings, guiding you through this ancient wisdom."
"DRUNTAR             ","Valhalla: The Realm of the Gods. From the author of the Tarot of Heaven and Earth, the Runic Tarot is the best deck designed on the theme of Norse mythology. This deck is the mighty and fierce guardian of an ancient aura. Weave together the wisdom of the Runes, the poetry of the Skalds, the valor of the Einherjar and the timeless gift of life and nature. The Runic Tarot is a tribute to the divine spark inherent in humanity. "
"DSACCIR             ","Llewellyn's Sacred Circle Tarot is now available as a deck only. This exceptionally popular and groundbreaking deck combines photographs, computer imaging, and traditional drawing techniques to create stunning images. Drawing on the sacred sites and Pagan heritage of Britain and Ireland, the symbols of the Sacred Circle Tarot unlock the deepest levels of Pagan teaching. The imagery of the cards is designed to work on a number of levels, serving as a tool not only for divination but to facilitate meditation, personal growth, and spiritual development. The major arcana is modified somewhat to fit the pagan theme of the deck. For example, ""The Fool"" becomes ""The Green Man,"" ""The Hierophant"" becomes ""The Druid,"" and ""The World"" becomes ""The World Tree."" Enter the sacred circle and experience a dawning of consciousness harkening back to the bards of Celtic lore. Includes 78 cards and an instructional booklet."
"DSANMUE             ","A masterpiece of inspired imagery, this tarot deck is a powerful tool for working with the mysticism associated with the Day of the Dead and Santa Muerte. Book of the dead. The companion booklets for most Lo Scarabeo decks are in five languages: English, Spanish, French, Italian, and German. 78 cards with guidebook."
"DSEAWITBE           ","Unlock your potential for growth, creativity, and abundance with the energy of Beltane! Also known as May Day, Beltane honors life and is a celebration of passion and putting your plans into action. The Earth's energies are at their strongest and most active, where all of life is bursting with potent fertility. At this point in the Wheel of the Year, your potential can be unleashed. This is a beautifully designed book and card deck set. Each of the 44 cards in this oracle deck is a seed of spiritual guidance, inspired by ancient Beltane themes, to find answers to your most profound questions. The accompanying guidebook features original poetry from Juliet Diaz that doubles as invocations for magick and ritual.These cards align with your energy, helping you to unlock your inner wisdom with the help of powerful spiritual forces. Along with thoughtful meanings are invocations, or powerful word spells, to invoke the energy of each card and to send your intentions of spiritual well-being out into the universe."
"DSEAWITIM           ","This season get ready to ascend from darkness, reaching for your hopes and dreams as you step out of winter and into the light. Imbolc is associated with patience, hope, transitions, and beginning the ascent back to the light after the darkness of the winter months, this is the perfect season to represent the self. It's a time when the harshness of a spiritually dark cycle may bring up feelings of vulnerability or confusion about your next steps, or when you need some encouragement to keep going. This sabbat is also the most suited for solitary spiritual work, where you turn inward and focus on your own hopes and dreams.This is a beautifully designed book and card deck set. Each of the 44 cards in this oracle deck is a seed of spiritual guidance. The messages give the user a glimpse of the card's inner meaning, making this oracle an excellent way for beginners to developing their own intuitive reading skills. These cards align with your energy, helping you to unlock your inner wisdom with the help of powerful spiritual forces. Along with thoughtful meanings are powerful word spells, to invoke the energy of each card and to send your intentions of spiritual well-being out into the universe. "
"DSEAWITLA           ","he seventh deck in the bestselling Seasons of the Witch series celebrates Lammas and centers on harvest, success, and gratitude. The seventh deck in the bestselling Seasons of the Witch series reclaims Lammas, the season of harvest, success and gratitude, as the energy of the boss witch. Explore the meanings of the 44 beautiful cards and use the invocations and practices in the guidebook to connect more deeply with the energy of Lammas as you support and nourish your dreams. This deck will guide you to believe in yourself and have the courage to chase your desires."
"DSEAWITLI           ","A celebration of abundance, light, growth and joy. Litha, also known as Midsummer and the Summer Solstice, the celebration of abundance, light, growth and joy.The earth has so much to teach us about embracing the energy of prosperity. More than money or wealth, abundance represents having enough of anything. Enough love, kindness, happiness, freedom, creativity, confidence and, of course, money too. Seasons of the Witch Litha Oracle is here to help you rediscover your soul's natural wealth so you can awaken your ability to manifest more of your heart's desires. For beginners and advanced practitioners alike, whether you are a green witch looking to reconnect to the bounty of the earth, a lover of slow magical Sundays spent slinging cards, or you're ready to let the light drive away your shadows and experience more healing and expansion, the 44 cards in this beautiful and unique deck are your confidants and companions."
"DSEAWITOS           ","A celebration of spring, renewal and new beginnings! Ostara, also known as the spring equinox marks the end of a journey, renewal, and new beginnings. It's an opportunity to step fearlessly onto a new path. A time of second chances and restoring hope, surrendering to the powerful version of yourself you are becoming. Seasons of the Witch, Ostara Oracle is here to guide you through your journey of rebirth, for no ending is truly the end but rather a portal, initiating you into the next cycle of your spiritual evolution. Whether this is your first deck or an addition to your treasured collection, the 44 cards in this beautifully illustrated oracle will help you to transcend even the darkest, longest winters of your soul."
"DSEAWITSA           ","Unlock of the power of Samhain energy every night of the year through these stunning cards and engaging guidebook, co-created by Juliet Diaz, author of The Witchery.Samhain is one of the most enigmatic and magical pagan nights of the year for performing divination, ritual and spells. Our ancestors have known this for centuries, taking advantage of the night's potent energy to gain clear insight into the past, the present and the future. Now you can experience the magic and electric energies of this sacred night all year long with Seasons of the Witch: Samhain Oracle.This is a beautifully designed book and card deck set. Each of the forty-four cards will connect you to the spirit realm to bring healing, understanding, protection, and guidance. The accompanying guidebook features original poetry from Juliet Diaz of November Sage that doubles as invocations for magick and ritual. Evocative guidance from Lorriane Anderson of Spirit Element guides you through your readings and the history and lore of Samhain celebrations, complete with spells and recipes. And the cards allow you to unlock secret insights to make the most of Samhain energy!"
"DSEAWITYU           ","And the Wheel turns! Yule reminds us of warmth, happiness, and a time to be thankful for all that we have. For centuries ancient healers have celebrated the restorative energy of the Yuletide festival, the traditional harsh winters reminding us of our impressive ability to weather tough storms and find support and comfort with loved ones. In Seasons of the Witch: Yule Oracle you'll discover 44 healing messages to align you with the divine wisdom of the year's darkest night and the joyful celebration associated with the winter holidays. This oracle is your path to deep reflection and tranquility and is a promise of the brighter days to come."
"DSECORA             ","The Secret Oracle of the Green Witch guides you through an enchanted garden into the heart of the woods, where the Green, Hedge and Kitchen Witches reveal their special magic. Learn to listen to the voices in the woods and receive their messages through symbols and stories. Recognize the plants, animals and natural elements used for charms, talismans and potions. The deck brings together the important herbs, tools, tales and inspiration you’ll need for your spellwork. Includes 50 cards and 65-page illustrated guidebook."
"DSHADAR             ","For someone who desires something different from the ""light and love"" aesthetic, The Shadow of Darkness Oracle is an easy-to-use deck inspired by heavy metal music and equipped with the tools shadow work creates for transformation. This incredible deck is your guide to uncovering blind spots in your life and healing from them. Through the profound practice of shadow work, you'll bring subconscious patterns to the surface, breaking free from limiting beliefs and gaining deeper insights into your darker aspects and suppressed emotions. The artwork in this deck, inspired by the rebellious spirit of heavy metal music, captures the essence of transformation and empowerment. Each card is designed to challenge you and stimulate introspection, inviting you to explore areas of resistance that may be holding you back. Whether you're a seasoned practitioner or just beginning your shadow work journey, The Shadow of Darkness Oracle offers powerful prompts and guidance to help you dive deep into your inner world."
"DSHAORA             ","featuring stunning illustrations by renowned artist Luis Tamani, this deck will take you on a journey that will nourish your roots and enlighten your spirit with the endless beauty of nature. Nature is a source of ever-flowing inspiration. Since the dawn of existence, she has accompanied and guided humanity through her cycles. But we must give ourselves the space to listen to her daily teachings.Featuring vibrant imagery by Peruvian artist Luis Tamani, this Oracle is an invitation to reconnect with your own light, the light of others, and the light of the earth, which welcomes you. These cards act like mirrors, opening a way to self-understanding and inviting you to reconnect with something more significant."
"DSHATARS            ","Weaving Asian, Celtic, and fantasy artistic styles, the Shadowscapes Tarot is a Rider-Waite-Smith based tarot by Stephanie Pui-Mun Law is filled with universal symbols from fairy tales, myth and folklore from around the world.  Includes 78 cards and an instructional booklet."
"DSMIWAI             ","The Smith-Waite Centennial Tarot Deck is a faithful reproduction of the original deck created by Pamela Colman Smith in 1909, directed by A E Waite. Scenes are muted colors.  This stand alone landmark version is for collectors or anyone wanting a quality deck.  The 82 card deck includes the standard 78 card plus 4 samples of ""Pixies"" non-tarot art and 16 page booklet. Card stack is 4 3/4"" x 2 3/4"" x 1 1/8""."
"DSMIWAIB            ","The Smith-Waite Centennial Tarot Deck is a faithful reproduction of the original deck created by Pamela Colman Smith in 1909, directed by A E Waite. Scenes are muted colors.  This stand alone landmark version is for collectors or anyone wanting a quality deck.  The 82 card deck includes the standard 78 card plus 4 samples of ""Pixies"" non-tarot art and 16 page booklet. Card stack is 4 3/4"" x 2 3/4"" x 1 1/8""."
"DSPIANI             ","This magnificent oracle by Jody Bergsma will guide you on a journey to get to know 51 different animal helpers and discover their powerful medicine. Set includes 51 Animal Spirit Cards, 1 Personal Choice Card, 116-page illustrated Guidebook, and Power Animals Spread Sheet. A 6.5"" x 4.25"" box."
"DSPITAR             ","This Spiritsong deck is a melding of two traditions of divination: one in which animals are seen as guides between our world and the spirit world, and one that uses 78 cards as a tool to connect with our highest self. Each animal was specifically selected based upon Shamanic and Native American symbolism, merging each animal’s unique power with classic tarot practices. For example, the Spiritsong animal, Raven, has attributes such as ‘creation’ that parallels some of the same symbolic tarot attributes of the traditional Magician card, which is why the Raven is the animal representing that card. The Spiritsong Tarot structure is based on the traditional tarot, containing the 22 Majors, the 56 Minors, and four suits: Acorns for Wands/Fire; Feathers for Swords/Air; Shells for Cups/Water; and Crystals for Pentacles/Earth. Connected to the portals of higher worlds, the 78 Spiritsong animals are mentors of divine guidance. Bearing their own Shamanic powers, they’re forever open to providing their energy when called upon. They’re always available to help you attain your greatest spiritual potential. If you ask, they will provide guidance needed to assist you in finding the best remedy for any situation. Set includes 78 cards and 108-page guidebook."
"DSTABEG0TA          ","Perfect for beginners, the Starter Tarot Deck is complete with revised tarot motifs and interpretations and reversed meanings printed upon each card.  Includes 78 cards and an instructional booklet."
"DSTATAR             ","One of the most eagerly anticipated tarot sets! Years in the making, a must have for collectors! One of the many creative artworks that was spawned, and derived from the 7 year inspirational collaboration between David Bowie and Davie De Angelis, while creating Bowies ""Outside""  and ""Earthling"" album artwork. De Angelis has produced a fascinating tarot deck, expertly weaving together intricate sacred geometries, magic, alchemy, sacred teachings, and more. Exceptional reading deck designed to help connect with spirit or energize and creative projects. Box (51/4 x 8) includes a 78-card deck (3 x 51/2) and a 192-page color guidebook."
"DSTEVAU             ","Stellar Vault invites you to explore pastel tarot dreamscapes constructed with architectural precision and art deco elegance. Inspired by a playful anime aesthetic, fantasy artist Amrei envisions each card as a scene from a sci-fi space opera. Sensuous hybrid forms wear their contradictions like armor, offering a mirror to your own journey of transformation. Includes 78 silver-edged cards and 104-page illustrated guidebook"
"DSUNMOO             ","Giving a modern twist to ancient cultural symbols derived from everything from Kabbalism to Taoism, the Sun and Moon tarot deck beautiful interprets this mythology and brings it into the 78 cards of the Arcana.  Includes 78 cards and an instructional booklet."
"DSYMSOU             ","Enhance your divination with the feminine energy and striking contrasts of black and white in this must-have Rider-Waite-Smith-based tarot. Each evocative card features gold foil and showcases Elisa Seitzinger's amazing art style. These illustrations are rich in symbolism and eye-catching beauty, and the wise female figures imbue every reading with powerful divinatory insights. With this deck, you'll look deep into your soul and discover the answers you seek."
"DTABMOR             ","Tabula Mortem follows in the tradition of spirit boards yet offers a new approach for establishing contact with the spirit realm. The attractively designed board taps into elemental energy and communicates through a system of ancient symbolic cave runes. The unique planchette can also be used as a pendulum. The 84-page Tabula Mortem guidebook explores the history and mystique of ‘talking boards’ and provides instructions for working with this fascinating device."
"DTARABY             ","Tarot experiences, like any other, begin as shapeless and void as the abyss. As we evolve and develop our relationship with the cards, we move from dark chaos to an ordered, illuminated cosmos. In both the Major and Minor Arcana, Ana Tourian has created a beautifully nuanced tarot deck designed to mirror the journey of the soul through the universe. Includes 80-card deck with two alternate cards, and 148-page guidebook."
"DTARBLA             ","Discover a deck with a whole new approach to color and design with the Black &amp; Gold Tarot. Based on the pictorial key of the traditional Rider-Waite-Smith tarot and printed with elegant gold-foil details, this deck makes for a breathtaking tableau as the cards are laid out in a spread. Whether you are a reader or a collector, you will realize fresh possibilities and interpretations with this creative work of art. Featuring a new hard box with an angled, cut-hinged top, this tarot truly stands out from all the rest. Includes a 78-card gold-foil deck and instructional booklet in a 5"" x 8"" box."
"DTARCARG            ","The easiest way to learn Tarot with this complete deck and book set. Contrary to what we see in pop culture, reading Tarot cards has nothing to do with ""seeing the future"" or ""fortune-telling."" Instead, Tarot is a tool for self-evaluation and an opportunity for insight, that can be a lot of fun too. With this easy interpretive guidebook and deck, you can learn to read the cards'. "
"DTARDRA             ","Dragons are legend incarnate. They are keepers of ancient lore and trusted guides to the mystical ways of the tarot. Now, their boundless wisdom comes to you in this stunning Rider-Waite-Smith-based deck. Tarot of Dragons filters classic symbolism through a draconic lens, making your readings sizzle with new energy. Featuring Firat Solhan's gorgeous illustrations and a full-color companion book by dragon expert Shawn MacKenzie, this deck will ignite your passions, focus your heart and mind, and illuminate your path from chaos to enlightenment. Includes 78-card deck and 224 page full color guidebook."
"DTARDRE             ","Ciro Marchetti reimagines tarot by presenting vivid dream images that map out a fascinating journey of self-discovery. Tarot of Dreams explores the profound web of visual and emotional associations that occur at the intersection of divination and dreams. Tarot of Dreams offers readers a powerful tool for personal insight and divination. The 78 traditional cards are supplemented with a special Tree of Life card plus four Palace cards that give further context to the Court cards. Lee Bursten’s insightful guidebook seamlessly weaves together psychological, astrological, and kabbalistic elements into the story of the Fool’s Journey. Lee Bursten is the author of numerous tarot decks and books. Ciro Marchetti is an award-winning digital artist. His popular decks include Gilded Reverie Lenormand and Oracle of Visions. Includes 83 cards and a 112 page guidebook."
"DTARGUI             ","Discover the meaning of the tarot cards and then learn to use them in the Celtic Cross tarot spread to discover the answers to the mysteries around you. This is a great way to learn or to demonstrate this type of card spread."
"DTARMAR             ","The family of Marseilles cards are the decks that first caught the attention of French occultists, thus beginning Tarot's use as a divination tool. The Tarots of Marseille, a detailed reproduction of a classic Marseilles deck, maintains an integrity of Tarot symbolism and a connection with Tarot's veiled past while incorporating added details that enhance usability and increase ease in reading. "
"DTARMUC             ","An extraordinary tribute to art nouveau pioneer Alphonse Mucha, this deck embraces the fresh beauty of the dawning of the twentieth century along with the eternal wisdom and understanding of the tarot. This special edition contains full-bleed images and a booklet that reveals every secret hidden in the cards. 128 page book included. 78 cards. Card stack is 4 3/4"" x 2 3/4"" x 1 1/8"""
"DTARORI             ","Open the doors to divination and magic with the only deck in the world that blends the powerful magic of West African Yoruba, Brazilian Candomblé, and Santeria. Depicting the vibrant spiritual forces that originated with the Yoruba people, The Tarot of the Orishas features vivid artwork and stories that bring the mysteries of the universe to light. Potent tools for magical insights, the meaning and personal impact of these cards become richer over time, providing unsurpassed knowledge of the sacred energies that shape your life. 312 page instruction book included. 77 Cards. Card stack is 4 5/8"" x 2 3/4"" x 7/8"""
"DTARORI1909         ","The masterpiece by Arthur Edward Waite and Pamela Colman Smith, reproduced from the very first edition of December 1909 A top quality edition of the original timeless Tarot, for clear, insightful and deep Readings. With instruction by renowned writer and Tarot expert Sasha Graham. 78 full colour tarot cards and instructions"
"DTAROWL             ","Unlock your intuition with wisdom from owls of all shapes and sizes. This Rider-Waite-Smith-based deck features spectacular artwork by Elisabeth Alba and a companion guide by Pamela Chen. You'll connect with the four parliaments of the minor arcana (great horned, burrowing, barn, and snowy owls), the unique members of the major arcana, and the royal owls of the court cards. Tarot of the Owls teaches you how to use their insight to conquer daily challenges and create the life you truly desire."
"DTARSACF            ","Blending elegant images of the divine feminine with the symbols of the world's great spiritual traditions, the Tarot of the Sacred Feminine provides divinatory power and emotional resonance unlike any other deck. With breathtaking artwork provided by Italian artist Franco Rivoli, this deck is designed to carry your spirit to sacred spaces of peace and insight. 64 page book included. 78 cards. Card stack is 4 3/4"" x 2 5/8"" x 1"""
